id,season,team_name,player_name,nationality,type,price_paid(in rupee)
1,2023,Chennai Super Kings,Ajinkya Rahane,Indian,Batsman,5000000.0
1,2023,Chennai Super Kings,Bhagath Varma,Indian,All-Rounder,2000000.0
1,2023,Chennai Super Kings,Kyle Jamieson,Overseas,Bowler,10000000.0
1,2023,Chennai Super Kings,Ajay Mandal,Indian,All-Rounder,2000000.0
1,2023,Chennai Super Kings,Nishant Sindhu,Indian,All-Rounder,6000000.0
1,2023,Chennai Super Kings,Shaik Rasheed,Indian,Batsman,2000000.0
1,2023,Chennai Super Kings,Ben Stokes,Overseas,All-Rounder,162500000.0
2,2023,Delhi Capitals,Phil Salt,Overseas,Wicket-Keeper,20000000.0
2,2023,Delhi Capitals,Ishant Sharma,Indian,Bowler,5000000.0
2,2023,Delhi Capitals,Rilee Rossouw,Overseas,Batsman,46000000.0
2,2023,Delhi Capitals,Manish Pandey,Indian,Batsman,24000000.0
2,2023,Delhi Capitals,Mukesh Kumar,Indian,Bowler,55000000.0
3,2023,Gujarat Titans,Shivam Mavi,Indian,Bowler,60000000.0
3,2023,Gujarat Titans,K.S. Bharat,Indian,Wicket-Keeper,12000000.0
3,2023,Gujarat Titans,Urvil Patel,Indian,Wicket-Keeper,2000000.0
3,2023,Gujarat Titans,Mohit Sharma,Indian,Bowler,5000000.0
3,2023,Gujarat Titans,Joshua Little,Overseas,Bowler,44000000.0
3,2023,Gujarat Titans,Kane Williamson,Overseas,Batsman,20000000.0
3,2023,Gujarat Titans,Odean Smith,Overseas,All-Rounder,5000000.0
4,2023,Kolkata Knight Riders,Kulwant Khejroliya,Indian,Bowler,2000000.0
4,2023,Kolkata Knight Riders,Shakib Al Hasan,Overseas,All-Rounder,15000000.0
4,2023,Kolkata Knight Riders,Vaibhav Arora,Indian,Bowler,6000000.0
4,2023,Kolkata Knight Riders,N. Jagadeesan,Indian,Wicket-Keeper,9000000.0
4,2023,Kolkata Knight Riders,David Wiese,Overseas,All-Rounder,10000000.0
4,2023,Kolkata Knight Riders,Mandeep Singh,Indian,Batsman,5000000.0
4,2023,Kolkata Knight Riders,Litton Das,Overseas,Wicket-Keeper,5000000.0
4,2023,Kolkata Knight Riders,Suyash Sharma,Indian,Bowler,2000000.0
5,2023,Lucknow Super Giants,Amit Mishra,Indian,Bowler,5000000.0
5,2023,Lucknow Super Giants,Nicholas Pooran,Overseas,Wicket-Keeper,160000000.0
5,2023,Lucknow Super Giants,Romario Shepherd,Overseas,All-Rounder,5000000.0
5,2023,Lucknow Super Giants,Daniel Sams,Overseas,All-Rounder,7500000.0
5,2023,Lucknow Super Giants,Swapnil Singh,Indian,All-Rounder,2000000.0
5,2023,Lucknow Super Giants,Yudhvir Charak,Indian,All-Rounder,2000000.0
5,2023,Lucknow Super Giants,Prerak Mankad,Indian,All-Rounder,2000000.0
5,2023,Lucknow Super Giants,Yash Thakur,Indian,Bowler,4500000.0
5,2023,Lucknow Super Giants,Naveen Ul Haq,Overseas,Bowler,5000000.0
5,2023,Lucknow Super Giants,Jaydev Unadkat,Indian,Bowler,5000000.0
6,2023,Mumbai Indians,Jhye Richardson,Overseas,Bowler,15000000.0
6,2023,Mumbai Indians,Nehal Wadhera,Indian,All-Rounder,2000000.0
6,2023,Mumbai Indians,Raghav Goyal,Indian,Bowler,2000000.0
6,2023,Mumbai Indians,Cameron Green,Overseas,All-Rounder,175000000.0
6,2023,Mumbai Indians,Vishnu Vinod,Indian,Wicket-Keeper,2000000.0
6,2023,Mumbai Indians,Duan Jansen,Overseas,All-Rounder,2000000.0
6,2023,Mumbai Indians,Piyush Chawla,Indian,Bowler,5000000.0
6,2023,Mumbai Indians,Shams Mulani,Indian,All-Rounder,2000000.0
7,2023,Punjab Kings,Harpreet Bhatia,Indian,Batsman,4000000.0
7,2023,Punjab Kings,Shivam Singh,Indian,All-Rounder,2000000.0
7,2023,Punjab Kings,Vidwath Kaverappa,Indian,Bowler,2000000.0
7,2023,Punjab Kings,Mohit Rathee,Indian,All-Rounder,2000000.0
7,2023,Punjab Kings,Sam Curran,Overseas,All-Rounder,185000000.0
7,2023,Punjab Kings,Sikandar Raza,Overseas,All-Rounder,5000000.0
8,2023,Rajasthan Royals,Jason Holder,Overseas,All-Rounder,57500000.0
8,2023,Rajasthan Royals,Adam Zampa,Overseas,Bowler,15000000.0
8,2023,Rajasthan Royals,Abdul P A,Indian,All-Rounder,2000000.0
8,2023,Rajasthan Royals,Akash Vashisht,Indian,All-Rounder,2000000.0
8,2023,Rajasthan Royals,Donovan Ferreira,Overseas,Wicket-Keeper,5000000.0
8,2023,Rajasthan Royals,Kunal Rathore,Indian,Wicket-Keeper,2000000.0
8,2023,Rajasthan Royals,Joe Root,Overseas,Batsman,10000000.0
8,2023,Rajasthan Royals,Murugan Ashwin,Indian,Bowler,2000000.0
8,2023,Rajasthan Royals,K.M. Asif,Indian,Bowler,3000000.0
9,2023,Royal Challengers Bangalore,Sonu Yadav,Indian,All-Rounder,2000000.0
9,2023,Royal Challengers Bangalore,Himanshu Sharma,Indian,Bowler,2000000.0
9,2023,Royal Challengers Bangalore,Avinash Singh,Indian,Bowler,6000000.0
9,2023,Royal Challengers Bangalore,Manoj Bhandage,Indian,All-Rounder,2000000.0
9,2023,Royal Challengers Bangalore,Will Jacks,Overseas,Batsman,32000000.0
9,2023,Royal Challengers Bangalore,Reece Topley,Overseas,Bowler,19000000.0
9,2023,Royal Challengers Bangalore,Rajan Kumar,Indian,Bowler,7000000.0
10,2023,Sunrisers Hyderabad,Sanvir Singh,Indian,All-Rounder,2000000.0
10,2023,Sunrisers Hyderabad,Harry Brook,Overseas,Batsman,132500000.0
10,2023,Sunrisers Hyderabad,Heinrich Klaasen,Overseas,Wicket-Keeper,52500000.0
10,2023,Sunrisers Hyderabad,Akeal Hosein,Overseas,Bowler,10000000.0
10,2023,Sunrisers Hyderabad,Mayank Markande,Indian,Bowler,5000000.0
10,2023,Sunrisers Hyderabad,Adil Rashid,Overseas,Bowler,20000000.0
10,2023,Sunrisers Hyderabad,Anmolpreet Singh,Indian,Batsman,2000000.0
10,2023,Sunrisers Hyderabad,Vivrant Sharma,Indian,All-Rounder,26000000.0
10,2023,Sunrisers Hyderabad,Samarth Vyas,Indian,All-Rounder,2000000.0
10,2023,Sunrisers Hyderabad,Upendra Singh Yadav,Indian,Wicket-Keeper,2500000.0
10,2023,Sunrisers Hyderabad,Nitish Kumar Reddy,Indian,Wicket-Keeper,2000000.0
10,2023,Sunrisers Hyderabad,Mayank Agarwal,Indian,Batsman,82500000.0
10,2023,Sunrisers Hyderabad,Mayank Dagar,Indian,All-Rounder,18000000.0
11,2022,Chennai Super Kings,Robin Uthappa,Indian,Batsman,20000000.0
11,2022,Chennai Super Kings,Dwayne Bravo,Overseas,All-Rounder,44000000.0
11,2022,Chennai Super Kings,Ambati Rayudu,Indian,Wicket-Keeper,67500000.0
11,2022,Chennai Super Kings,Deepak Chahar,Indian,Bowler,140000000.0
11,2022,Chennai Super Kings,C.Hari Nishaanth,Indian,Batsman,2000000.0
11,2022,Chennai Super Kings,N. Jagadeesan,Indian,Wicket-Keeper,2000000.0
11,2022,Chennai Super Kings,K.M. Asif,Indian,Bowler,2000000.0
11,2022,Chennai Super Kings,Tushar Deshpande,Indian,Bowler,2000000.0
11,2022,Chennai Super Kings,Shivam Dube,Indian,All-Rounder,40000000.0
11,2022,Chennai Super Kings,Chris Jordan,Overseas,All-Rounder,36000000.0
11,2022,Chennai Super Kings,Maheesh Theekshana,Overseas,Bowler,7000000.0
11,2022,Chennai Super Kings,Rajvardhan Hangargekar,Indian,All-Rounder,15000000.0
11,2022,Chennai Super Kings,Simarjeet Singh,Indian,Bowler,2000000.0
11,2022,Chennai Super Kings,Devon Conway,Overseas,Batsman,10000000.0
11,2022,Chennai Super Kings,Dwaine Pretorius,Overseas,All-Rounder,5000000.0
11,2022,Chennai Super Kings,Mitchell Santner,Overseas,All-Rounder,19000000.0
11,2022,Chennai Super Kings,Adam Milne,Overseas,Bowler,19000000.0
11,2022,Chennai Super Kings,Subhranshu Senapati,Indian,Batsman,2000000.0
11,2022,Chennai Super Kings,Mukesh Choudhary,Indian,Bowler,2000000.0
11,2022,Chennai Super Kings,Prashant Solanki,Indian,Bowler,12000000.0
11,2022,Chennai Super Kings,K.Bhagath Varma,Indian,All-Rounder,2000000.0
12,2022,Delhi Capitals,David Warner,Overseas,Batsman,62500000.0
12,2022,Delhi Capitals,Mitchell Marsh,Overseas,All-Rounder,65000000.0
12,2022,Delhi Capitals,Mustafizur Rahman,Overseas,Bowler,20000000.0
12,2022,Delhi Capitals,Shardul Thakur,Indian,Bowler,107500000.0
12,2022,Delhi Capitals,Kuldeep Yadav,Indian,Bowler,20000000.0
12,2022,Delhi Capitals,Ashwin Hebbar,Indian,Batsman,2000000.0
12,2022,Delhi Capitals,Sarfaraz Khan,Indian,All-Rounder,2000000.0
12,2022,Delhi Capitals,Kamlesh Nagarkoti,Indian,All-Rounder,11000000.0
12,2022,Delhi Capitals,K.S. Bharat,Indian,Wicket-Keeper,20000000.0
12,2022,Delhi Capitals,Mandeep Singh,Indian,Batsman,11000000.0
