id,season,team_name,remaining_fund(in rupee),overseas_player,total_players,total_spent,total_budget
1,2023,Chennai Super Kings,15000000.0,8,25,189500000.0,204500000.0
2,2023,Delhi Capitals,44500000.0,8,25,150000000.0,194500000.0
3,2023,Gujarat Titans,44500000.0,8,25,148000000.0,192500000.0
4,2023,Kolkata Knight Riders,16500000.0,8,22,54000000.0,70500000.0
5,2023,Lucknow Super Giants,35500000.0,8,25,198000000.0,233500000.0
6,2023,Mumbai Indians,500000.0,8,24,205000000.0,205500000.0
7,2023,Punjab Kings,122000000.0,7,22,200000000.0,322000000.0
8,2023,Rajasthan Royals,33500000.0,8,25,98500000.0,132000000.0
9,2023,Royal Challengers Bangalore,17500000.0,8,25,70000000.0,87500000.0
10,2023,Sunrisers Hyderabad,65500000.0,8,25,357000000.0,422500000.0
11,2022,Chennai Super Kings,29500000.0,8,25,450500000.0,480000000.0
12,2022,Delhi Capitals,1000000.0,7,24,474000000.0,475000000.0
13,2022,Gujarat Titans,1500000.0,8,23,518500000.0,520000000.0
14,2022,Kolkata Knight Riders,4500000.0,8,25,475500000.0,480000000.0
15,2022,Lucknow Super Giants,0.0,7,21,590000000.0,590000000.0
16,2022,Mumbai Indians,1000000.0,8,25,479000000.0,480000000.0
17,2022,Punjab Kings,34500000.0,7,25,685500000.0,720000000.0
18,2022,Rajasthan Royals,9500000.0,8,24,610500000.0,620000000.0
19,2022,Royal Challengers Bangalore,15500000.0,8,22,554500000.0,570000000.0
20,2022,Sunrisers Hyderabad,1000000.0,8,23,679000000.0,680000000.0
21,2021,Chennai Super Kings,25500000.0,8,25,173500000.0,199000000.0
22,2021,Delhi Capitals,21500000.0,8,25,112500000.0,134000000.0
23,2021,Kolkata Knight Riders,32000000.0,8,25,75500000.0,107500000.0
24,2021,Mumbai Indians,36500000.0,8,25,117000000.0,153500000.0
25,2021,Punjab Kings,188000000.0,8,25,344000000.0,532000000.0
26,2021,Rajasthan Royals,136500000.0,8,24,242000000.0,378500000.0
27,2021,Royal Challengers Bangalore,3500000.0,8,22,350500000.0,354000000.0
28,2021,Sunrisers Hyderabad,69500000.0,8,25,38000000.0,107500000.0
29,2020,Chennai Super Kings,1500000.0,8,24,144500000.0,146000000.0
30,2020,Delhi Capitals,90000000.0,8,22,188500000.0,278500000.0
31,2020,Punjab Kings,165000000.0,8,25,262000000.0,427000000.0
32,2020,Kolkata Knight Riders,85000000.0,8,23,271500000.0,356500000.0
33,2020,Mumbai Indians,19500000.0,8,24,111000000.0,130500000.0
34,2020,Rajasthan Royals,147500000.0,8,25,141500000.0,289000000.0
35,2020,Royal Challengers Bangalore,64000000.0,8,21,215000000.0,279000000.0
36,2020,Sunrisers Hyderabad,101000000.0,8,25,69000000.0,170000000.0
37,2019,Chennai Super Kings,32000000.0,8,25,52000000.0,84000000.0
38,2019,Delhi Capitals,77000000.0,8,25,178000000.0,255000000.0
39,2019,Punjab Kings,37000000.0,8,23,325000000.0,362000000.0
40,2019,Kolkata Knight Riders,60500000.0,8,21,91500000.0,152000000.0
41,2019,Mumbai Indians,35500000.0,8,24,76000000.0,111500000.0
42,2019,Rajasthan Royals,71500000.0,8,25,138000000.0,209500000.0
43,2019,Royal Challengers Bangalore,18000000.0,8,24,163500000.0,181500000.0
44,2019,Sunrisers Hyderabad,53000000.0,8,23,44000000.0,97000000.0
45,2018,Chennai Super Kings,65000000.0,8,25,405000000.0,470000000.0
46,2018,Delhi Capitals,16000000.0,8,25,454000000.0,470000000.0
47,2018,Punjab Kings,1000000.0,7,21,674000000.0,675000000.0
48,2018,Kolkata Knight Riders,0.0,7,19,590000000.0,590000000.0
49,2018,Mumbai Indians,6500000.0,8,25,463500000.0,470000000.0
50,2018,Rajasthan Royals,16500000.0,8,23,658500000.0,675000000.0
51,2018,Royal Challengers Bangalore,1500000.0,8,24,488500000.0,490000000.0
52,2018,Sunrisers Hyderabad,6500000.0,8,25,583500000.0,590000000.0
53,2017,Delhi Capitals,90500000.0,9,26,140500000.0,231000000.0
54,2017,Gujarat Lions,105000000.0,8,27,38500000.0,143500000.0
